,author_id,text
2013-04-03 13:58:40.275902466,941388744183242753,fridafredrikse1 : batteriet på elbilen din er trolig laget på kullkraft i kina og med barnearbeid i kongo  via 
2013-04-03 15:31:12.414572546,1205654574205460481,janjarog kariekaa nrknyheter merker du ikke hvor banal du høres ut ? hvordan var norsk økonomi og kontanstrøm fra oljevirksomheten i perioden 2005-2013 ? men forøvrig enig . alle politikerne er helt talentløse . 
2013-04-03 16:31:52.449695748,1205654574205460481,janjarog kariekaa nrknyheter men hun mangler kunnskap og innsikt til å delta i en diskusjon om økonomi . derfor møter hun seg selv i døren fra den ene setningen til den andre . 
2013-04-03 17:21:23.107491841,1109952151885963264,"dette er mitt yndlingspunkt ved storfjorden i stranda kommune . rett fram går fjorden inn til geiranger , til høgre til hellesylt og til venstre utover mot ålesund . nett no køyrer stranda spekemat ei kampanje for å bli  # strandassadør - det er innmari kult ! 📷 thomas hove  "
2013-04-03 18:10:20.953190403,1205654574205460481,kjære  ⁦⁦ gurimelby ⁩ gjør en oppdatering på innvandringsregnskapet . er litt usikker på hvilken konto dette skal føres i . bør det åpnes en egen konto for innvandrerinfo ? håper på svar . 40 millioner til innvandrerinfo -   
2013-04-03 18:19:16.070834177,1205654574205460481,janjarog kariekaa nrknyheter hva tenker du om denne ? 
2013-04-03 19:20:14.611279876,941388744183242753,"espenteigen dagens generasjon er den mest lettkrenkelig , selvopptatte og svakelige generasjon noensinne . jeg savner humoren fra nittitallet , da otto jespersen med flere var på topp . hvis dagens generasjon hadde blitt servert sånt i dag , så hadde de lagt seg ned for å grine . 😂 "
2013-04-03 21:00:16.010174468,1125479276336308225,"sagt på en annen måte : « kutta ikke leieprisene nok så folk hadde råd til å bo , håva inn 2 mill fra staten i krisepakke » bjørvika apartments aleine har hittil hatt rett på over 14 millioner kroner . eiendomshaier er vel noen av de siste det er synd på i krisetider ... "
2013-04-03 21:00:18.187026438,1125479276336308225,sv vil kaste ut boliginvestorer fra kriseordning . og ap og sp fremmet et forslag i stortinget om at selskaper som er illojale overfor kompensasjonsordninga skal betale tilbake støtte . forslaget blei nedstemt ... 
2013-04-03 21:12:46.060732421,1205654574205460481,janjarog kariekaa nrknyheter og kronen er rekordsvak . men at norge har prosentvis flere rike og velstående enn andre land er da positivt ? 
2013-04-03 21:51:19.773036549,3022178259,"for en enorm prestasjon av molde ! de så død og begravet ut etter en time av første kamp , men kommer tilbake . gjennomføringen i dag er nær perfekt , og de få gangene hoffenheim kommer til sjanser er linde der ! grattis molde_fk ! "
2013-04-03 22:40:23.830528000,1109952151885963264,"jaggu er vi ikkje ein fin gjeng med lurendreiarar , oss nordmenn  "
2013-04-03 22:49:35.209529348,1272435071371358208,hvem skal prioriteres i vaksinekøen ? naku mener personer med utviklingshemming bør prioriteres opp . # korona  # covid-19 
2013-04-03 23:00:25.901338634,1319919082431537152,"turidk stokkebo biggahino stvaftenblad man kan feks fjerne  « studiekompetanse », og få på plass et opptakssystem basert på hvor og hvem du er på denne kloden . en sat og en generell søknad feks . da vil de på 35 slippe å måtte analysere garborg og bruket ett år på å bli russ . "
2013-04-03 23:02:27.229945865,3022178259,hvis ikke jeg tar helt feil er det første gang et norsk lag vinner en kamp i en utslagsrunde i europa siden 27 . nov 2003 . det er nesten 18 (!) år siden ! 
2013-04-03 23:11:20.061698053,3022178259,den dagen tok både rosenborg og vålerenga seg videre fra andre runde i uefa-cupen . 
2013-04-03 23:31:52.536965124,57064417,tre viktige grunner til at norge ikke må finne på å regne karbonopptak i skog og natur slik frp_no foreslår - og hva vi bør gjøre istedet . # mernatur  
2013-04-03 23:34:47.548526593,11534522,"aft_meninger : - det grønne skiftet er for mange blitt synonymt med  « reduksjon av klimagassutslipp , koste hva det koste vil », men det "
2013-04-04 00:03:27.431290884,620392738,gratulerer molde_fk ! imponerande . ein stor dag for molde og for norsk fotball . 
2013-04-04 00:33:26.229872644,237475435,"jeg fatter virkelig ikke hvordan noen kan syns det er positivt for norsk fotball at en av de mest pengesterke klubbene går videre i europa slik at de tjener enda mer penger . dette resulterer bare i at de kan kjøpe seg enda mer dominans , som er utelukkende negativt . "
2013-04-04 02:12:08.431869955,2586939154,"hegenord molde_fk fantastisk  ! molde slutter ikke å imponere . linde , ulland a . og de andre : for et lag  !! ‘ her , her kommer molde ’. vi gleder oss til fortsettelsen "
2013-04-04 02:35:56.747624454,1205654574205460481,det er skrekkelig å høre hoyretina lundkjetil og bsverdrup på  # nrkdebatt  . hognehongset er den som forvalter fornuften i denne saken . takk til fredrik solvang for å eksponere galskapen . 
2013-04-04 02:43:27.475851287,1236936045058457600,"maritanesnah du er ikke den eneste . begrepsbruken og antall temaer , gjør det svært vanske å forstå seg på hvordan dette henger sammen . "
2013-04-04 02:52:12.762152960,775084458743562240,gostabroholmer linguistvera religion  — ikke vitenskap  — er hva de nå holder på med . 
2013-04-04 03:04:07.500926978,2586939154,"bengtomball takk . uhyre sterk prestasjon  ! linde , ulland a ., og de andre : for et lag  👍 reiste seg etter den første , svake timen i første kamp . gleder meg til fortsettelsen  😊 "
2013-04-04 03:06:29.448687617,1236936045058457600,"hongset virker som en svært kunnskapsrik mann , men jeg stusser over at han verken ble introdusert eller har tittel under navnet sitt . å vite hvem som diskuterer er essensielt for seernes troverdighet til deltakerne og programmet . # nrkdebatt "
2013-04-04 03:17:21.046450178,1205654574205460481,dette er kraftmiksen i norge . da sier det seg selv at det er dyrere å kutte utslipp i norge enn andre steder . det er alarmerende at vi har en olje- og energiminister i hoyretina som ikke skjønner dette . 
2013-04-04 03:21:12.525910019,1319919082431537152,"biggahino turidk stokkebo stvaftenblad ja , og 23/5 finnes . om jeg feks skulle ønske å ta lærerstudiet funker ikke realkompetanse . det er noe nedverdigende med det hele hvis man som 35-åring skulle ønske å studere - man må bare bruke ett år på å bli russ først . "
2013-04-04 03:35:10.182928390,1036652855753678849,dag 25 av å få sveinung rotevatn te å legge merke te mæ 😌 
2013-04-04 03:45:19.447490571,1236936045058457600,"la hoyretina snakke ! er sykt lei av at solvang stiller spørsmål , for å så avbryte deltagerne det sekundet de åpner munnen . # nrkdebatt "
2013-04-04 03:47:14.946072576,1148589260628529153,bartefjes regel  :( 
2013-04-04 03:50:53.553164293,1236936045058457600,helgewastaken forfatter og fagforeningsmann med lang erfaring fra oljebransjen . 
2013-04-04 03:52:58.799312900,1205654574205460481,"interessant at det kun er frp_no som har lest sin michael porter og skjønt hva som er norges komparative fortrinn , mens hoyre og hoyretina ikke vet hva komparative fortrinn er . legger forøvrig ved hvordan norges energimiks ser ut . # nrkdebatt  "
2013-04-04 04:00:22.036606979,1157441488348942341,"etter ingun tapte en sak , tapte en bestefar livet og hele familien levde med forfølgelse av den falske anmerkningen ingunn bearbeidet i flere måneder . staten norge skaper samme tap til mange ti tusener uskyldige barn og foreldre videre siden 2010 . "
2013-04-04 04:10:38.490181632,779040090131685377,arilasos molde_fk nærsynt  . 
2013-04-04 04:38:29.320601600,1205654574205460481,"huff . når man lager hydrogen av naturgass , hoyretina  , er formelen slik : ch4 + o2  = 2h2 + co2
altså for hvert molekyl naturgass som brukes , frigjøres to molekyler hydrogen og et molekyl co2 . # nrkdebatt "
2013-04-04 04:48:10.969825281,1383650898,bojandjordjic7 legende 
2013-04-04 05:04:21.108162563,337825216,"fuglevern : "" det er og blir uansvarlig og særdeles paradoksalt at vi skal bruke store summer på restaurering samtidig som vi hogger "
