,Unnamed: 0,author_id,text
0,2013-04-03 13:59:58.113751041,183356975,"baardamundsen jveberg you give us the opinion that we want as many cars in town as possible. what we work for is that the cars that exist should be electric. Lack of charging does not hinder car ownership, but is an effective way to promote fossil cars"
1,2013-04-03 14:11:37.807544320,1346506400252518400,you impress in and outside the ski jump marenlundby - congratulations with world cup silver 🥈👏🇳🇴 📸 alex_henn oberstdorf2021 norskijump #equalities # lo # rsm # coop # thon
2,2013-04-03 14:18:16.908152836,183356975,olavtorvund baardamundsen error. no one but the electric drivers themselves pay for their own cars. and electric motorists in housing associations pay for their own electricity.
3,2013-04-03 15:38:08.334385153,183356975,"olavtorvund baardamundsen last we checked, the electric motorists mostly also paid tolls and traffic insurance tax. but boring with debate when one should be precise"
4,2013-04-03 17:19:16.955418624,946741131332800513,"erna_solberg tips 60s will bring a nice job in europe somewhere with € 500. 000 in salary without personal tax, private driver, and a free grandios home and everything else that comes with it. all paid for by Europe&#39;s taxpayers! good luck !"
5,2013-04-03 17:25:41.434662917,1359262138947239939,"helgheimjon now thinks everyone understands that you have nothing to do in the Storting! you live at the taxpayers&#39; expense and are an immigrant to oslo and want to come to the parliament for oslo! fast career for an immigrant! you, listhaug and pike are expensive for the party! devastating!"
6,2013-04-03 17:40:06.035857411,1359262138947239939,"helgheimjon now thinks everyone understands that you have nothing to do in the Storting! you live at the taxpayers&#39; expense and are an immigrant to oslo and want to come to the parliament for oslo! fast career for an immigrant! you, listhaug and pike are expensive for the party! devastating!"
7,2013-04-03 20:13:26.141067268,1350448732043681794,"nordbyholtan sv_karin svparti innlandetsv we can not let private kindergarten drivers decide how many kindergarten places we need in the municipality! the councillor&#39;s figures and the size of the litter show that we have enough places with a buffer, as it is today!"
8,2013-04-03 20:35:39.191492611,28875514,children are the easiest to brainwash:
9,2013-04-03 21:14:08.193601536,1350448732043681794,- there is no reason to give landlords corona support. this type of activity should be excluded from the corona support scheme and svparti will submit proposals on this in connection with the consideration of the crisis package in the Storting. sv_karin # fordemange
10,2013-04-03 21:42:29.105553408,1323016651026108416,trysil_sv: - there is no reason to give landlords corona support. this type of business should be out of the corona support scheme and svparti will
11,2013-04-03 21:51:19.773036549,3022178259,"what a tremendous achievement by molde! they looked dead and buried out after an hour of the first match, but return. the execution today is close to perfect, and the few times hoffenheim comes to chances are linde there! congratulations molde_fk!"
12,2013-04-03 22:14:34.337222656,61183780,ho_derre anthrotweetus uriksfredrik plannorge this clearly shows which groups are driving this. then by all means go directly to these. we have these around us so grab them and go out with them. not racism but a recommendation to physically do something about the beast. girls should be treated with respect to be safe !!
13,2013-04-03 22:16:30.364205067,40935476,impressed with molde_fk. this is really something to applaud. congratulations bondevikkm and the rest of the thorn bush tsghoffenheim
14,2013-04-03 22:32:48.517902342,4699567280,hkilset ivarsorensen roksvagrune jonasali does not understand that you can sit in a cold car without thinking about these poor children who have been involved in making these batteries. but for svparti and the mixture individual jonasali is it is ok. get sick of their way of dealing with reality. did a large rock have to hit?
15,2013-04-03 22:40:35.117436929,4699567280,"dirkedurken heidimoffe does not seem like she is the sharpest that god has created, but she is a master at muting and blocking."
16,2013-04-03 22:49:35.209529348,1272435071371358208,who should be prioritized in the vaccine queue? naku believes that people with developmental disabilities should be given higher priority. # corona # covid-19
17,2013-04-03 23:02:27.229945865,3022178259,"if I&#39;m not completely wrong, this is the first time a Norwegian team has won a match in a knockout round in Europe since 27. Nov 2003 it&#39;s almost 18 (!) years ago!"
18,2013-04-03 23:11:20.061698053,3022178259,"that day, both rosenborg and vålerenga moved on from the second round of the uefa cup."
19,2013-04-03 23:41:58.894948359,1193613826685579270,betconsultant but it is anyway a very good performance by molde_fk and knock hoffenheim out of the europa league! # 2el
20,2013-04-03 23:51:17.207162881,1193613826685579270,robbanbringa I thought that ole gunnar has taken out a surprisingly good crew for this match. but it&#39;s still very nice to see that bruno is tonight&#39;s captain! # 2el
21,2013-04-04 00:22:28.827217933,1193613826685579270,mikel oyarzabal tried on a bruno fernandes special but it ended up with an insanely bad penalty kick! 👏😱😆 # 2el # munrso
22,2013-04-04 00:30:12.100706304,1350448732043681794,"nordbyholtan sv_karin svparti innlandetsv if you refer to the last survey conducted inland, only private kindergartens were surveyed, ie no municipal. but in trysil it is about structure and number of places, we have not had the quality up for processing, nor put questions about it"
23,2013-04-04 01:27:19.518146562,40935476,nrkoletorp molde_fk bondevikkm tornekrattet tsghoffenheim we rumored down.
24,2013-04-04 02:06:17.297383425,4699567280,dirkedurken er blokka what does this great man write?
25,2013-04-04 02:15:10.263382022,1300020191292796928,what can you say ? what can one say?
26,2013-04-04 02:21:24.797964290,1134715667041726464,shacast_a lars_akerhaug it&#39;s probably the latest :)
